,acousticness,artist,danceability,date,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,position,speechiness,stream,tempo,time_signature,track_name,url,valence
61,0.0472,Sia,0.628,2017-01-01,211667.0,0.698,0.00143,6.0,0.0907,-5.608,0.0,62.0,0.105,69719.0,89.976,4.0,Cheap Thrills,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,0.732
62,0.695,James Arthur,0.358,2017-01-01,211467.0,0.557,0.0,10.0,0.0902,-7.398,1.0,63.0,0.059,69263.0,85.043,4.0,Say You Won't Let Go,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,0.494
63,0.0821,Zion & Lennox,0.725,2017-01-01,246653.0,0.711,0.0,10.0,0.0931,-4.544,1.0,64.0,0.0335,68252.0,93.003,4.0,Mi Tesoro (feat. Nicky Jam),https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa,0.477
64,0.166,Gente De Zona,0.616,2017-01-01,203160.0,0.989,0.0,9.0,0.172,-1.698,0.0,65.0,0.0483,67680.0,95.036,4.0,La Gozadera,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,0.902
65,0.16,The Chainsmokers,0.542,2017-01-01,208053.0,0.859,0.00466,11.0,0.137,-5.651,1.0,66.0,0.197,66794.0,159.797,4.0,Don't Let Me Down,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,0.403
66,0.0673,Charly Black,0.723,2017-01-01,224320.0,0.889,0.0,0.0,0.363,-4.017,1.0,67.0,0.0939,65847.0,101.032,4.0,Gyal You A Party Animal - Remix,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,0.701
67,0.488,Julión Álvarez y su Norteño Banda,0.723,2017-01-01,179107.0,0.494,0.0,0.0,0.381,-5.054,1.0,68.0,0.0375,64264.0,128.037,4.0,Afuera Está Lloviendo,https://open.spotify.com/track/6vVlJvDUGiF2w6XxJtDZUC,0.587
68,0.147,Joey Montana,0.783,2017-01-01,182747.0,0.748,0.0,8.0,0.173,-4.683,1.0,69.0,0.0892,63992.0,93.222,4.0,Picky,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx,0.806
69,0.653,Los Plebes del Rancho de Ariel Camacho,0.607,2017-01-01,183547.0,0.51,2.87e-06,9.0,0.0698,-5.146,1.0,70.0,0.0298,63825.0,155.226,3.0,No Lo Hice Bien,https://open.spotify.com/track/211mktDmIq7g2Q4gBTXphj,0.781
70,0.137,Shawn Mendes,0.469,2017-01-01,208733.0,0.68,0.0,11.0,0.11,-4.921,0.0,71.0,0.117,63697.0,147.734,4.0,Mercy,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,0.374
71,0.234,Reik,0.768,2017-01-01,219227.0,0.742,0.0,9.0,0.14,-6.308,1.0,72.0,0.0443,63565.0,114.679,5.0,Ya Me Enteré (feat. Nicky Jam) - Urban Version,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F,0.797
72,0.229,Los Angeles Azules,0.668,2017-01-01,267827.0,0.472,3.58e-06,11.0,0.145,-7.912,0.0,73.0,0.0544,63530.0,83.17,4.0,Cómo Te Voy A Olvidar,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv,0.651
73,0.622,Banda Sinaloense MS de Sergio Lizárraga,0.781,2017-01-01,190773.0,0.553,1.61e-06,5.0,0.0832,-4.598,1.0,74.0,0.0454,63006.0,145.06,3.0,Háblame De Ti,https://open.spotify.com/track/1O18MtSAMUk7JfAVB8gGzs,0.832
74,0.00943,Los Angeles Azules,0.52,2017-01-01,336147.0,0.753,0.000689,0.0,0.971,-4.51,1.0,75.0,0.0355,62009.0,91.105,4.0,17 Años - En Vivo Concierto Sinfónico Cumbia Fuzión by Fuze Tea,https://open.spotify.com/track/1ODoXFTC06Gts1blnAS3h4,0.62
75,0.56,Calibre 50,0.769,2017-01-01,234360.0,0.45,0.0,0.0,0.133,-4.194,1.0,76.0,0.0309,61811.0,129.866,3.0,Siempre Te Voy A Querer,https://open.spotify.com/track/3VK8copXwqvAueMPhnBe6K,0.573
76,0.062,León Larregui,0.724,2017-01-01,177600.0,0.652,0.000283,10.0,0.0922,-6.433,1.0,77.0,0.0341,61280.0,112.021,4.0,Locos,https://open.spotify.com/track/3GSMdtJphymHEsR8K9jT5Q,0.956
77,0.835,Justin Bieber,0.609,2017-01-01,233720.0,0.378,0.0,4.0,0.28,-9.828,1.0,78.0,0.438,59994.0,100.418,4.0,Love Yourself,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,0.515
78,0.446,Nicky Jam,0.628,2017-01-01,205907.0,0.69,0.0,8.0,0.112,-5.828,1.0,79.0,0.0511,59232.0,179.911,4.0,El Perdón,https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,0.662
79,0.405,Los Angeles Azules,0.483,2017-01-01,194147.0,0.629,0.0,7.0,0.0617,-4.396,1.0,80.0,0.0338,59202.0,85.957,4.0,Mi Niña Mujer,https://open.spotify.com/track/03gvX91BuMzzXPyMjlYhAk,0.812
80,0.0102,Sia,0.668,2017-01-01,210227.0,0.725,0.000479,1.0,0.0561,-6.127,1.0,81.0,0.266,59075.0,191.944,4.0,The Greatest,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,0.729
81,0.156,DNCE,0.774,2017-01-01,219147.0,0.764,0.0,4.0,0.0383,-5.445,0.0,82.0,0.0518,58905.0,118.997,4.0,Cake By The Ocean,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,0.912
82,0.0873,Emmanuel,0.673,2017-01-01,338107.0,0.906,6.83e-05,11.0,0.696,-5.319,0.0,83.0,0.0685,57826.0,101.892,4.0,"La Chica De Humo - En Vivo Desde Auditorio Nacional, México/ 2007",https://open.spotify.com/track/05PIJWWaYGCF4cMk5sHQPR,0.654
83,0.123,Shawn Mendes,0.624,2017-01-01,187973.0,0.803,0.0,10.0,0.114,-4.105,0.0,84.0,0.246,57290.0,166.018,4.0,Treat You Better,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,0.821
84,0.453,Banda Sinaloense MS de Sergio Lizárraga,0.728,2017-01-01,210493.0,0.528,0.0,2.0,0.253,-5.767,0.0,85.0,0.0281,57172.0,124.95,4.0,Mi Razón De Ser,https://open.spotify.com/track/5JaMGjY9Ltvo9CFQfmUdYW,0.471
85,0.08,Kungs,0.793,2017-01-01,195547.0,0.729,3.1e-05,0.0,0.317,-4.77,0.0,86.0,0.0394,57067.0,121.972,4.0,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,0.488
86,0.337,La Adictiva Banda San José de Mesillas,0.755,2017-01-01,195253.0,0.465,0.0,2.0,0.0638,-3.639,1.0,87.0,0.0413,56695.0,142.94,3.0,Te Dirán,https://open.spotify.com/track/1PB6yA6o4CuJZUcVQ8UWh8,0.949
87,0.071,Paulina Rubio,0.747,2017-01-01,196540.0,0.791,0.0,9.0,0.0839,-3.868,1.0,88.0,0.0986,56222.0,92.046,4.0,Me Quema,https://open.spotify.com/track/0VjbN2rfs40mHQ5mZN9UCE,0.681
88,0.0815,Morat,0.617,2017-01-01,240560.0,0.893,0.0,4.0,0.207,-4.565,1.0,89.0,0.0412,56093.0,130.98,4.0,Cómo Te Atreves,https://open.spotify.com/track/2z0EshEO4XptiepEb9j3Og,0.789
89,0.843,Ulices Chaidez,0.661,2017-01-01,205420.0,0.474,3.98e-05,10.0,0.111,-6.67,1.0,90.0,0.0353,55323.0,145.924,3.0,¿Por Que Me Enamoré?,https://open.spotify.com/track/18J1Ke20aBiyK0nv9gnjez,0.798
90,0.0291,Alan Walker,0.589,2017-01-01,212627.0,0.651,3.2e-06,6.0,0.111,-5.097,1.0,91.0,0.0306,54603.0,90.011,4.0,Faded,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,0.166
91,0.376,León Larregui,0.625,2017-01-01,226187.0,0.433,0.00103,9.0,0.248,-12.963,1.0,92.0,0.0366,54330.0,93.04,4.0,Brillas,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI,0.274
92,0.73,Gerardo Ortiz,0.626,2017-01-01,177467.0,0.524,0.0,8.0,0.075,-4.259,1.0,93.0,0.0417,54013.0,157.988,4.0,Regresa Hermosa,https://open.spotify.com/track/6SRg6MfhnXxXwxtufnCGuV,0.901
93,0.176,Bacilos,0.76,2017-01-01,266160.0,0.773,0.0,9.0,0.1,-5.314,1.0,94.0,0.0675,53775.0,102.789,4.0,Caraluna,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums,0.895
94,0.187,J Balvin,0.763,2017-01-01,171093.0,0.812,0.000848,5.0,0.0752,-6.469,0.0,95.0,0.0792,53074.0,101.95,4.0,Ginza,https://open.spotify.com/track/5N8nNuTmIzkZOfcxXlygUw,0.828
95,0.755,Alta Consigna,0.726,2017-01-01,155513.0,0.294,0.0,9.0,0.157,-6.491,1.0,96.0,0.0331,52590.0,89.9,3.0,Te Deseo Lo Mejor,https://open.spotify.com/track/7ETBp75Sc6ZT6XHVN783aq,0.786
96,0.499,Banda Los Recoditos,0.748,2017-01-01,180147.0,0.496,0.0,3.0,0.194,-4.949,1.0,97.0,0.0449,52443.0,144.903,3.0,Me Está Gustando,https://open.spotify.com/track/1PPswVdqYYvfBIk5MdB4Lo,0.966
97,0.35,Jonas Blue,0.739,2017-01-01,195313.0,0.833,0.0,1.0,0.266,-5.012,1.0,98.0,0.0463,52112.0,117.99,4.0,Perfect Strangers,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,0.699
