,Unnamed: 0,artist,date,position,streams,track_name,url
29717,29717,Julión Álvarez y su Norteño Banda,2017-05-29,118,46186,Esta Noche Se Me Olvida,https://open.spotify.com/track/3XOirfRA6N4eBy0c0e1QdJ
29730,29730,Shakira,2017-05-29,131,44590,Perro Fiel (feat. Nicky Jam),https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
29741,29741,Shakira,2017-05-29,142,41563,Trap (feat. Maluma),https://open.spotify.com/track/7GncL3nyKUjsEm8Z5gvTpW
29799,29799,French Montana,2017-05-29,200,33511,Unforgettable,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
30058,30058,J Balvin,2017-06-03,59,94200,Bonita,https://open.spotify.com/track/0atfY1ew83Ql9nNnJiD2t5
30145,30145,Major Lazer,2017-06-03,146,45874,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
30161,30161,Fifth Harmony,2017-06-03,162,41892,Down,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ
30259,30259,J Balvin,2017-06-04,60,79631,Bonita,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
30485,30485,Katy Perry,2017-06-05,86,59065,Swish Swish,https://open.spotify.com/track/2kVHAQKVtczchKctctzbtK
30517,30517,Julia Michaels,2017-06-05,118,48697,Issues,https://open.spotify.com/track/6D0b04NJIKfEMg040WioJQ
30558,30558,Halsey,2017-06-05,159,39169,Now Or Never,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8
30567,30567,Ariana Grande,2017-06-05,168,38238,One Last Time,https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi
30581,30581,Lana Del Rey,2017-06-05,182,36733,Lust For Life (with The Weeknd),https://open.spotify.com/track/4L7Y2OAPiY2I2GndZjAs5K
30588,30588,French Montana,2017-06-05,189,35949,Unforgettable,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
31195,31195,Major Lazer,2017-06-08,196,38230,Buscando Huellas (feat. J Balvin & Sean Paul),https://open.spotify.com/track/6urlj8N8TL3MK0ATNGIZYW
31235,31235,David Guetta,2017-06-09,36,139493,2U (feat. Justin Bieber),https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
31308,31308,Katy Perry,2017-06-09,109,57964,Déjà Vu,https://open.spotify.com/track/5q9stUg2W38X9PyzgIOdhH
31321,31321,Christian Nodal,2017-06-09,122,54429,Probablemente,https://open.spotify.com/track/0ib1eHSccu3AZ9UnL4JZdc
31368,31368,Carla Morrison,2017-06-09,169,43019,Te Regalo,https://open.spotify.com/track/2Ye46ZY2LKOQTPXaauQisB
31375,31375,Taylor Swift,2017-06-09,176,41842,Blank Space,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
31376,31376,Katy Perry,2017-06-09,177,41827,Witness,https://open.spotify.com/track/7iz4bsfPOrK9wzhXkgUfya
31582,31582,C. Tangana,2017-06-10,183,39195,Mala Mujer,https://open.spotify.com/track/6puxHBNwu2Nmm7uD3Rd2MP
31584,31584,Lil Uzi Vert,2017-06-10,185,38987,XO TOUR Llif3,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
32160,32160,Jonas Blue,2017-06-13,161,41701,Mama,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
32186,32186,Carlos Rivera,2017-06-13,187,38937,Lo Digo,https://open.spotify.com/track/7c4gRQ1xIsIB9JhVvtWWIq
32599,32599,Guns N' Roses,2017-06-15,200,37748,Sweet Child O' Mine,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
32675,32675,Calvin Harris,2017-06-16,76,74929,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
